기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2018	합계	101,948	74,487	143	139	143	151	6,412	6,046	39,175	19,762	56,075	48,389
2018	종로구	3,690	3,913	6	7	3	7	236	1,100	1,483	969	1,962	1,830
2018	중구	4,030	2,679	2	2	11	11	207	115	1,855	832	1,955	1,719
2018	용산구	3,411	2,543	1	1	3	2	331	285	1,096	522	1,980	1,733
2018	성동구	2,457	1,787	2	2	5	8	126	102	999	487	1,325	1,188
2018	광진구	3,915	2,789	7	5	2	1	229	184	1,769	974	1,908	1,625
2018	동대문구	3,680	2,968	2	2	5	4	145	112	1,447	930	2,081	1,920
2018	중랑구	4,288	3,222	4	5	3	3	174	145	1,526	876	2,581	2,193
2018	성북구	3,042	2,277	7	6	1	2	183	140	1,164	635	1,687	1,494
2018	강북구	3,437	2,743	8	6	7	7	188	135	1,112	603	2,122	1,992
2018	도봉구	2,249	1,676	1	1	5	3	113	117	781	431	1,349	1,124
2018	노원구	4,007	2,725	5	4	5	5	194	173	1,422	585	2,381	1,958
2018	은평구	3,590	2,863	8	8	1	1	188	169	1,278	816	2,115	1,869
2018	서대문구	2,802	2,016	5	4	3	3	206	189	1,062	585	1,526	1,235
2018	마포구	5,172	3,569	6	6	6	7	473	396	2,011	882	2,676	2,278
2018	양천구	3,515	2,459	2	3	4	14	120	111	1,384	646	2,005	1,685
2018	강서구	4,629	3,469	11	9	6	3	269	246	1,724	982	2,619	2,229
2018	구로구	4,810	3,338	8	8	9	9	250	181	1,717	787	2,826	2,353
2018	금천구	3,293	2,567	6	6	7	6	200	185	1,168	645	1,912	1,725
2018	영등포구	5,840	3,922	17	15	8	6	391	267	2,292	1,064	3,132	2,570
2018	동작구	3,100	2,090	3	3	7	7	288	154	1,151	532	1,651	1,394
2018	관악구	5,026	3,653	9	9	10	12	352	305	2,012	1,025	2,643	2,302
2018	서초구	4,726	3,183	5	5	5	5	470	315	1,851	838	2,395	2,020
2018	강남구	7,513	5,196	10	13	14	10	600	523	3,004	1,317	3,885	3,333
2018	송파구	5,807	4,051	5	6	6	8	309	254	2,352	1,034	3,135	2,749
2018	강동구	3,919	2,789	3	3	7	7	170	143	1,515	765	2,224	1,871